,size,name,mean,std,min,max,q25,q50,q75,mode,kurtosis,coef_assim,kurtosis classification,symmetry classification,cv,bin_size,classification
74,4194304,QuickSort (Cormen),323221095.0,341995.04239112407,321410000.0,323930000.0,323067000.0,323250000.0,323414500.0,323342000.0,11.941213059804102,-2.2203986746160354,Platicurtica,Assim. Neg.,0.001058083917422296,22,"Assim. Neg. &
Platicurtica"
61,1048576,ParallelMergeSort (Original),14437968.5,62069.98447408453,14297200.0,14576200.0,14394450.0,14455150.0,14479675.0,14315300.0,2.6171055272626376,-0.6174998545869472,Mesocurtica,Assim. Neg.,0.0042990801977497405,20,"Assim. Neg. &
Mesocurtica"
17,2048,QuickSort (C),136344.33,1737.5594335231026,133470.0,138076.0,134592.25,137080.0,137720.5,133478.0,1.9947521920512223,-0.844562842169292,Mesocurtica,Assim. Neg.,0.012743906794826764,11,"Assim. Neg. &
Mesocurtica"
11,1024,ParallelMergeSort (Original),18083.886000000002,173.6865307350974,17548.3,18582.9,17977.475,18101.25,18202.825,18212.9,3.2813484389799417,-0.17153893032600692,Platicurtica,Aprox. Sim.,0.00960449157526747,10,"Aprox. Sim. &
Platicurtica"
16,2048,ParallelMergeSort (Original),17623.194499999998,181.9767126295205,17001.1,18188.8,17513.15,17627.4,17726.850000000002,17502.0,3.5591448234418728,-0.006036507887108534,Platicurtica,Aprox. Sim.,0.010325977655726407,11,"Aprox. Sim. &
Platicurtica"
70,4194304,MergeSort (Weiss),728714030.0,5497483.998217103,711144000.0,742029000.0,725112000.0,729190500.0,732981500.0,711144000.0,3.1072464530329342,-0.461712120156454,Platicurtica,Aprox. Sim.,0.0075440896866183615,22,"Aprox. Sim. &
Platicurtica"
56,524288,ParallelMergeSort (Original),7218536.05,14312.615333541627,7185460.0,7260540.0,7209552.5,7217350.0,7226240.0,7209320.0,3.0754852620061133,0.4461234574958529,Platicurtica,Aprox. Sim.,0.0019827587248167347,19,"Aprox. Sim. &
Platicurtica"
25,8192,MergeSort (Weiss),853281.77,311.79782958297704,852642.0,854476.0,853158.5,853211.0,853527.5,853134.0,3.667545894330954,0.29649979670459004,Platicurtica,Aprox. Sim.,0.0003654101617370509,13,"Aprox. Sim. &
Platicurtica"
31,16384,ParallelMergeSort (Original),213447.37,450.1995125558633,212090.0,214577.0,213109.75,213453.0,213768.25,213210.0,2.8071784664746833,-0.02037869237568661,Mesocurtica,Aprox. Sim.,0.002109182758053488,14,"Aprox. Sim. &
Mesocurtica"
6,512,ParallelMergeSort (Original),18447.936,154.35747619173492,17980.3,18802.6,18342.225,18453.2,18556.825,18365.9,2.7057801173119818,-0.028332702174091985,Mesocurtica,Aprox. Sim.,0.008367194909595031,9,"Aprox. Sim. &
Mesocurtica"
21,4096,ParallelMergeSort (Original),17832.163500000002,342.8669609078145,16898.9,18666.1,17600.675000000003,17798.5,18072.025,17868.3,2.7592806804862557,0.3305838689551395,Mesocurtica,Aprox. Sim.,0.019227446008321672,12,"Aprox. Sim. &
Mesocurtica"
66,2097152,ParallelMergeSort (Original),28748192.0,205048.72502449455,28301900.0,29195600.0,28581950.0,28762700.0,28936200.0,28506100.0,1.7920227556619532,-0.14570945350858625,Mesocurtica,Aprox. Sim.,0.007132578112199005,21,"Aprox. Sim. &
Mesocurtica"
75,8388608,MergeSort (Weiss),1519920100.0,10115716.06697906,1486410000.0,1542250000.0,1512165000.0,1519770000.0,1528067500.0,1511760000.0,2.636841859205112,-0.2531909133041452,Mesocurtica,Aprox. Sim.,0.00665542620758753,23,"Aprox. Sim. &
Mesocurtica"
71,4194304,ParallelMergeSort (Original),57229170.5,531348.0094206892,56279200.0,58230500.0,56767200.0,57193950.0,57649650.0,56552800.0,1.8810307517959652,0.13276386198632778,Mesocurtica,Aprox. Sim.,0.009284565978825243,22,"Aprox. Sim. &
Mesocurtica"
68,2097152,QuickSort (C++ standard),137390620.0,815404.0621205025,136343000.0,138437000.0,136396750.0,137525000.0,138197250.0,136376000.0,1.3608701822642826,-0.10456380937101278,Mesocurtica,Aprox. Sim.,0.005934932545762604,21,"Aprox. Sim. &
Mesocurtica"
65,2097152,MergeSort (Weiss),347307475.0,3507514.786750212,336547000.0,353805000.0,345116500.0,347316500.0,350083500.0,345112000.0,2.9559764209911887,-0.3627466463362902,Mesocurtica,Aprox. Sim.,0.010099162958557721,21,"Aprox. Sim. &
Mesocurtica"
63,1048576,QuickSort (C++ standard),65383797.0,374104.62835385406,64901400.0,65844400.0,64916950.0,65479500.0,65740750.0,64908500.0,1.347559578806934,-0.23856389448757181,Mesocurtica,Aprox. Sim.,0.005721671813490031,20,"Aprox. Sim. &
Mesocurtica"
60,1048576,MergeSort (Weiss),164012140.0,2226257.837762973,159439000.0,171687000.0,162320750.0,163742500.0,165743000.0,162568000.0,2.783657213097028,0.3858722254216582,Mesocurtica,Aprox. Sim.,0.013573738125500789,20,"Aprox. Sim. &
Mesocurtica"
1,256,ParallelMergeSort (Original),18533.6165,163.61205641016375,18056.5,19031.1,18407.475,18533.449999999997,18638.575,18529.9,2.8852507679030537,0.047504833448080916,Mesocurtica,Aprox. Sim.,0.008827853776415614,8,"Aprox. Sim. &
Mesocurtica"
26,8192,ParallelMergeSort (Original),68133.201,602.6491447411895,66560.1,69853.0,67721.375,68126.4,68574.325,66560.1,2.911065430288776,0.1114952395192094,Mesocurtica,Aprox. Sim.,0.008845161182742456,13,"Aprox. Sim. &
Mesocurtica"
34,16384,QuickSort (Cormen),832001.6,503.79641138117137,831012.0,833773.0,831628.75,832010.5,832383.5,831192.0,2.7168311312271367,0.01886145913498904,Mesocurtica,Aprox. Sim.,0.0006055233684420455,14,"Aprox. Sim. &
Mesocurtica"
