arq,size,real_time
1313, 256, 0.008987
1313, 256, 0.01053
1313, 256, 0.009829
1313, 256, 0.008697
1313, 256, 0.009328
1313, 256, 0.008186
1313, 256, 0.008355
1313, 256, 0.008907
1313, 256, 0.008326
1313, 256, 0.008576
1313, 256, 0.008355
1313, 256, 0.008215
1313, 256, 0.009117
1313, 256, 0.008967
1313, 256, 0.008727
1313, 256, 0.008747
1313, 256, 0.010309
1313, 256, 0.008917
1313, 256, 0.009157
1313, 256, 0.008756
1313, 256, 0.008696
1313, 256, 0.008856
1313, 256, 0.008887
1313, 256, 0.008827
1313, 256, 0.008195
1313, 256, 0.009017
1313, 256, 0.008165
1313, 256, 0.008326
1313, 256, 0.009067
1313, 256, 0.008506
1313, 256, 0.009037
1313, 256, 0.008897
1313, 256, 0.008667
1313, 256, 0.015319
1313, 256, 0.008426
1313, 256, 0.008667
1313, 256, 0.009087
1313, 256, 0.008516
1313, 256, 0.008466
1313, 256, 0.008786
1313, 256, 0.008155
1313, 256, 0.008516
1313, 256, 0.008877
1313, 256, 0.008647
1313, 256, 0.009037
1313, 256, 0.008446
1313, 256, 0.008847
1313, 256, 0.009117
1313, 256, 0.008746
1313, 256, 0.008787
1313, 256, 0.009037
1313, 256, 0.008646
1313, 256, 0.008827
1313, 256, 0.008697
1313, 256, 0.009267
1313, 256, 0.008386
1313, 256, 0.008395
1313, 256, 0.008737
1313, 256, 0.008857
1313, 256, 0.008466
1313, 256, 0.008897
1313, 256, 0.008496
1313, 256, 0.008566
1313, 256, 0.009257
1313, 256, 0.009117
1313, 256, 0.008265
1313, 256, 0.008926
1313, 256, 0.008997
1313, 256, 0.008877
1313, 256, 0.008736
1313, 256, 0.008226
1313, 256, 0.008796
1313, 256, 0.008806
1313, 256, 0.008716
1313, 256, 0.008887
1313, 256, 0.008596
1313, 256, 0.009067
1313, 256, 0.008836
1313, 256, 0.008796
1313, 256, 0.008757
1313, 256, 0.008546
1313, 256, 0.008736
1313, 256, 0.009128
1313, 256, 0.008917
1313, 256, 0.008105
1313, 256, 0.008947
1313, 256, 0.008396
1313, 256, 0.008637
1313, 256, 0.008777
1313, 256, 0.009107
1313, 256, 0.008937
1313, 256, 0.008896
1313, 256, 0.008626
1313, 256, 0.008526
1313, 256, 0.009418
1313, 256, 0.008275
1313, 256, 0.009277
1313, 256, 0.008827
1313, 256, 0.009297
1313, 256, 0.008166
1313, 256, 0.009077
1313, 256, 0.008816
1313, 256, 0.008997
1313, 256, 0.009177
1313, 256, 0.008596
1313, 256, 0.008806
1313, 256, 0.008636
1313, 256, 0.009067
1313, 256, 0.008686
1313, 256, 0.009117
1313, 256, 0.008806
1313, 256, 0.008396
1313, 256, 0.008867
1313, 256, 0.008536
1313, 256, 0.008767
1313, 256, 0.009518
1313, 256, 0.008747
1313, 256, 0.009478
1313, 256, 0.009307
1313, 256, 0.008786
1313, 256, 0.010931
1313, 256, 0.009167
1313, 256, 0.009027
1313, 256, 0.008386
1313, 256, 0.008896
1313, 256, 0.009498
1313, 256, 0.009087
1313, 256, 0.008606
1313, 256, 0.008395
1313, 256, 0.009227
1313, 256, 0.009859
1313, 256, 0.008045
1313, 256, 0.008846
1313, 256, 0.008506
1313, 256, 0.008646
1313, 256, 0.008976
1313, 256, 0.009047
1313, 256, 0.008836
1313, 256, 0.008927
1313, 256, 0.009137
1313, 256, 0.009117
1313, 256, 0.008686
1313, 256, 0.008646
1313, 256, 0.008606
1313, 256, 0.009057
1313, 256, 0.008426
1313, 256, 0.008897
1313, 256, 0.008095
1313, 256, 0.008677
1313, 256, 0.008576
1313, 256, 0.009698
1313, 256, 0.009087
1313, 256, 0.008816
1313, 256, 0.009327
1313, 256, 0.009107
1313, 256, 0.008395
1313, 256, 0.009287
1313, 256, 0.009077
1313, 256, 0.009377
1313, 256, 0.008505
1313, 256, 0.008686
1313, 256, 0.008516
1313, 256, 0.008896
1313, 256, 0.008226
1313, 256, 0.008746
1313, 256, 0.008566
1313, 256, 0.008706
1313, 256, 0.008957
1313, 256, 0.008977
1313, 256, 0.008136
1313, 256, 0.008776
1313, 256, 0.008957
1313, 256, 0.008727
1313, 256, 0.008757
1313, 256, 0.008596
1313, 256, 0.008887
1313, 256, 0.008897
1313, 256, 0.008776
1313, 256, 0.008646
1313, 256, 0.008807
1313, 256, 0.008766
1313, 256, 0.009067
1313, 256, 0.009017
1313, 256, 0.008205
1313, 256, 0.008426
1313, 256, 0.008716
1313, 256, 0.016541
1313, 256, 0.008957
1313, 256, 0.008666
1313, 256, 0.009077
1313, 256, 0.009157
1313, 256, 0.008676
1313, 256, 0.010229
1313, 256, 0.008766
1313, 256, 0.008336
1313, 256, 0.009017
1313, 256, 0.008847
1313, 256, 0.008876
1313, 256, 0.008827
1313, 256, 0.009167
1313, 512, 0.018314
1313, 512, 0.018044
1313, 512, 0.018365
1313, 512, 0.018144
1313, 512, 0.017753
1313, 512, 0.017794
1313, 512, 0.019337
1313, 512, 0.018375
1313, 512, 0.018004
1313, 512, 0.018465
1313, 512, 0.017874
1313, 512, 0.018175
1313, 512, 0.018384
1313, 512, 0.018084
1313, 512, 0.018134
1313, 512, 0.018685
1313, 512, 0.021851
1313, 512, 0.017873
1313, 512, 0.017834
1313, 512, 0.018665
1313, 512, 0.018545
1313, 512, 0.017844
1313, 512, 0.022162
1313, 512, 0.018054
1313, 512, 0.018374
1313, 512, 0.018124
1313, 512, 0.018364
1313, 512, 0.018395
1313, 512, 0.017694
1313, 512, 0.018314
1313, 512, 0.018405
1313, 512, 0.022783
1313, 512, 0.019366
1313, 512, 0.018174
1313, 512, 0.018344
1313, 512, 0.018665
1313, 512, 0.017443
1313, 512, 0.018434
1313, 512, 0.017894
1313, 512, 0.018615
1313, 512, 0.018134
1313, 512, 0.023093
1313, 512, 0.018244
1313, 512, 0.018164
1313, 512, 0.017814
1313, 512, 0.018234
1313, 512, 0.018174
1313, 512, 0.018255
1313, 512, 0.018695
1313, 512, 0.017483
1313, 512, 0.018715
1313, 512, 0.018264
1313, 512, 0.018094
1313, 512, 0.018094
